Biomarker Name,ID,Exhaustive Synonyms,Type
Tetrahexosylceramide (d18:1/12:0),HMDB0004958,Globoside (d18:1/12:0),Chemical
cis-4-Octenedioic acid,HMDB0004982,,Chemical
Dimethyl sulfone,HMDB0004983,"MSM, Methylsulfonylmethane",Chemical
m-Tyramine,HMDB0004989,"3-Tyramine, 3-Hydroxyphenethylamine",Chemical
Codeine,HMDB0004995,Methylmorphine,Chemical
Gabapentin,HMDB0005015,Neurontin,Chemical
Enterodiol,HMDB0005056,,Chemical
Tetradecanoylcarnitine,HMDB0005066,"Myristoylcarnitine, C14 Carnitine",Chemical
8-Isoprostaglandin F2a,HMDB0005083,"8-iso-PGF2α, iPF2α-III",Chemical
(R)-Salsolinol,HMDB0005199,,Chemical
Dihydrodaidzein,HMDB0005760,,Chemical
Glycitein,HMDB0005781,,Chemical
Hesperetin,HMDB0005782,,Chemical
Hydroxytyrosol,HMDB0005784,"3,4-Dihydroxyphenylethanol, DOPET",Chemical
Tetrahydrocurcumin,HMDB0005789,,Chemical
Sulforaphane,HMDB0005792,,Chemical
Quercetin,HMDB0005794,,Chemical
Kaempferol,HMDB0005801,,Chemical
Gallic acid,HMDB0005807,"3,4,5-Trihydroxybenzoic acid",Chemical
Dihydrogenistein,HMDB0005897,,Chemical
D-Pipecolic acid,HMDB0005960,(R)-Piperidine-2-carboxylic acid,Chemical
Tetrahydrodeoxycortisol,HMDB0005972,THS,Chemical
Hexanal,HMDB0005994,Hexyl aldehyde,Chemical
20-Hydroxyeicosatetraenoic acid,HMDB0005998,20-HETE,Chemical
11-Ketoetiocholanolone,HMDB0006031,,Chemical
Scyllitol,HMDB0006088,Scyllo-Inositol,Chemical
Enterolactone,HMDB0006101,,Chemical
12-HETE,HMDB0006111,12-Hydroxyeicosatetraenoic acid,Chemical
Malondialdehyde,HMDB0006112,"MDA, Propanedial",Chemical
3-Hydroxyhippuric acid,HMDB0006116,m-Hydroxyhippuric acid,Chemical
Alpha-N-Phenylacetyl-L-glutamine,HMDB0006344,Phenylacetylglutamine,Chemical
Iso-Valeraldehyde,HMDB0006478,"3-Methylbutanal, Isovaleral",Chemical
Clupanodonic acid,HMDB0006528,"Docosapentaenoic acid (n-3), DPA",Chemical
Aflatoxin B1,HMDB0006552,AFB1,Chemical
Prolylhydroxyproline,HMDB0006695,Pro-Hyp,Chemical
Estriol-16-Glucuronide,HMDB0006766,,Chemical
PC(14:0/16:0),HMDB0007869,1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine,Chemical
PC(14:0/18:1(11Z)),HMDB0007872,1-Myristoyl-2-cis-vaccenoyl-sn-glycero-3-phosphocholine,Chemical
PC(14:0/18:1(9Z)),HMDB0007873,1-Myristoyl-2-oleoyl-sn-glycero-3-phosphocholine,Chemical
"PC(14:0/18:2(9Z,12Z))",HMDB0007874,1-Myristoyl-2-linoleoyl-sn-glycero-3-phosphocholine,Chemical
"PC(14:0/18:3(9Z,12Z,15Z))",HMDB0007876,1-Myristoyl-2-linolenoyl-sn-glycero-3-phosphocholine,Chemical
PC(14:0/20:1(11Z)),HMDB0007879,1-Myristoyl-2-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine,Chemical
"PC(14:0/20:2(11Z,14Z))",HMDB0007880,"1-Myristoyl-2-(11Z,14Z-eicosadienoyl)-sn-glycero-3-phosphocholine",Chemical
"PC(14:0/20:3(8Z,11Z,14Z))",HMDB0007882,1-Myristoyl-2-dihomo-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(14:0/20:4(5Z,8Z,11Z,14Z))",HMDB0007883,1-Myristoyl-2-arachidonoyl-sn-glycero-3-phosphocholine,Chemical
"PC(14:0/20:4(8Z,11Z,14Z,17Z))",HMDB0007884,,Chemical
PC(14:0/22:0),HMDB0007886,1-Myristoyl-2-behenoyl-sn-glycero-3-phosphocholine,Chemical
PC(14:0/22:1(13Z)),HMDB0007887,1-Myristoyl-2-erucoyl-sn-glycero-3-phosphocholine,Chemical
"PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0007890,1-Myristoyl-2-docosapentaenoyl-sn-glycero-3-phosphocholine (n-6),Chemical
"PC(14:0/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0007891,1-Myristoyl-2-docosapentaenoyl-sn-glycero-3-phosphocholine (n-3),Chemical
"PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0007892,1-Myristoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,Chemical
PC(14:0/P-16:0),HMDB0007895,1-Myristoyl-2-(palmitoyl-plasmenyl)-sn-glycero-3-phosphocholine,Chemical
PC(14:0/P-18:1(11Z)),HMDB0007897,,Chemical
PC(14:0/P-18:1(9Z)),HMDB0007898,,Chemical
PC(14:1(9Z)/14:0),HMDB0007899,,Chemical
PC(14:1(9Z)/16:1(9Z)),HMDB0007903,,Chemical
PC(14:1(9Z)/18:0),HMDB0007904,,Chemical
PC(14:1(9Z)/18:1(11Z)),HMDB0007905,,Chemical
PC(14:1(9Z)/18:1(9Z)),HMDB0007906,,Chemical
"PC(14:1(9Z)/18:2(9Z,12Z))",HMDB0007907,,Chemical
PC(14:1(9Z)/20:0),HMDB0007911,,Chemical
PC(14:1(9Z)/20:1(11Z)),HMDB0007912,,Chemical
"PC(14:1(9Z)/20:2(11Z,14Z))",HMDB0007913,,Chemical
"PC(14:1(9Z)/20:3(5Z,8Z,11Z))",HMDB0007914,,Chemical
"PC(14:1(9Z)/20:3(8Z,11Z,14Z))",HMDB0007915,,Chemical
PC(14:1(9Z)/22:0),HMDB0007919,,Chemical
"PC(14:1(9Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0007922,,Chemical
"PC(14:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0007923,,Chemical
"PC(14:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0007924,,Chemical
PC(14:1(9Z)/P-18:0),HMDB0007929,,Chemical
PC(14:1(9Z)/P-18:1(11Z)),HMDB0007930,,Chemical
PC(14:1(9Z)/P-18:1(9Z)),HMDB0007931,,Chemical
PC(15:0/15:0),HMDB0007934,,Chemical
PC(16:0/14:0),HMDB0007965,1-Palmitoyl-2-myristoyl-sn-glycero-3-phosphocholine,Chemical
PC(16:0/16:1(9Z)),HMDB0007969,1-Palmitoyl-2-palmitoleoyl-sn-glycero-3-phosphocholine,Chemical
PC(16:0/18:1(11Z)),HMDB0007971,1-Palmitoyl-2-cis-vaccenoyl-sn-glycero-3-phosphocholine,Chemical
PC(16:0/18:1(9Z)),HMDB0007972,"1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine, POPC",Chemical
"PC(16:0/18:2(9Z,12Z))",HMDB0007973,"1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine, PLPC",Chemical
"PC(16:0/18:3(6Z,9Z,12Z))",HMDB0007974,1-Palmitoyl-2-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(16:0/18:3(9Z,12Z,15Z))",HMDB0007975,1-Palmitoyl-2-alpha-linolenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(16:0/18:4(6Z,9Z,12Z,15Z))",HMDB0007976,1-Palmitoyl-2-stearidonoyl-sn-glycero-3-phosphocholine,Chemical
PC(16:0/20:0),HMDB0007977,1-Palmitoyl-2-arachidoyl-sn-glycero-3-phosphocholine,Chemical
PC(16:0/20:1(11Z)),HMDB0007978,1-Palmitoyl-2-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine,Chemical
"PC(16:0/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0007984,"1-Palmitoyl-2-eicosapentaenoyl-sn-glycero-3-phosphocholine, PEPC",Chemical
"PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0007991,"1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine, PDPC",Chemical
PC(16:0/24:1(15Z)),HMDB0007993,1-Palmitoyl-2-nervonoyl-sn-glycero-3-phosphocholine,Chemical
PC(16:0/P-18:1(11Z)),HMDB0007996,,Chemical
PC(16:0/P-18:1(9Z)),HMDB0007997,,Chemical
PC(16:1(9Z)/14:1(9Z)),HMDB0007999,,Chemical
PC(16:1(9Z)/16:0),HMDB0008001,,Chemical
PC(16:1(9Z)/16:1(9Z)),HMDB0008002,,Chemical
PC(16:1(9Z)/18:0),HMDB0008003,,Chemical
PC(16:1(9Z)/18:1(11Z)),HMDB0008004,,Chemical
PC(16:1(9Z)/18:1(9Z)),HMDB0008005,,Chemical
"PC(16:1(9Z)/18:2(9Z,12Z))",HMDB0008006,,Chemical
"PC(16:1(9Z)/18:3(6Z,9Z,12Z))",HMDB0008007,,Chemical
"PC(16:1(9Z)/18:3(9Z,12Z,15Z))",HMDB0008008,,Chemical
PC(16:1(9Z)/20:0),HMDB0008010,,Chemical
"PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008015,,Chemical
"PC(16:1(9Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008016,,Chemical
"PC(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008017,,Chemical
"PC(16:1(9Z)/22:2(13Z,16Z))",HMDB0008020,,Chemical
"PC(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008022,,Chemical
"PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008024,,Chemical
PC(16:1(9Z)/P-16:0),HMDB0008027,,Chemical
PC(16:1(9Z)/P-18:0),HMDB0008028,,Chemical
PC(16:1(9Z)/P-18:1(11Z)),HMDB0008029,,Chemical
PC(16:1(9Z)/P-18:1(9Z)),HMDB0008030,,Chemical
PC(18:0/14:1(9Z)),HMDB0008032,,Chemical
PC(18:0/16:1(9Z)),HMDB0008035,,Chemical
PC(18:0/18:0),HMDB0008036,"1,2-Distearoyl-sn-glycero-3-phosphocholine, DSPC",Chemical
PC(18:0/18:1(11Z)),HMDB0008037,1-Stearoyl-2-cis-vaccenoyl-sn-glycero-3-phosphocholine,Chemical
PC(18:0/18:1(9Z)),HMDB0008038,"1-Stearoyl-2-oleoyl-sn-glycero-3-phosphocholine, SOPC",Chemical
"PC(18:0/20:3(5Z,8Z,11Z))",HMDB0008046,"1-Stearoyl-2-(5Z,8Z,11Z-eicosatrienoyl)-sn-glycero-3-phosphocholine",Chemical
"PC(18:0/20:3(8Z,11Z,14Z))",HMDB0008047,1-Stearoyl-2-dihomo-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(18:0/22:4(7Z,10Z,13Z,16Z))",HMDB0008054,1-Stearoyl-2-docosatetraenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0008057,1-Stearoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,Chemical
PC(18:0/24:0),HMDB0008058,1-Stearoyl-2-lignoceroyl-sn-glycero-3-phosphocholine,Chemical
PC(18:0/P-18:0),HMDB0008061,,Chemical
PC(18:0/P-18:1(11Z)),HMDB0008062,,Chemical
PC(18:0/P-18:1(9Z)),HMDB0008063,,Chemical
PC(18:1(11Z)/14:0),HMDB0008064,,Chemical
PC(18:1(11Z)/14:1(9Z)),HMDB0008065,,Chemical
PC(18:1(11Z)/16:0),HMDB0008067,,Chemical
PC(18:1(11Z)/16:1(9Z)),HMDB0008068,,Chemical
PC(18:1(11Z)/18:0),HMDB0008069,,Chemical
"PC(18:1(11Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0008075,,Chemical
"PC(18:1(11Z)/20:2(11Z,14Z))",HMDB0008078,,Chemical
"PC(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008083,,Chemical
"PC(18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008088,,Chemical
"PC(18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008089,,Chemical
PC(18:1(11Z)/24:0),HMDB0008091,,Chemical
PC(18:1(11Z)/P-16:0),HMDB0008093,,Chemical
PC(18:1(11Z)/P-18:0),HMDB0008094,,Chemical
PC(18:1(9Z)/14:0),HMDB0008097,,Chemical
PC(18:1(9Z)/14:1(9Z)),HMDB0008098,,Chemical
PC(18:1(9Z)/16:0),HMDB0008100,1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine,Chemical
PC(18:1(9Z)/16:1(9Z)),HMDB0008101,,Chemical
PC(18:1(9Z)/18:0),HMDB0008102,,Chemical
"PC(18:1(9Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0008108,,Chemical
"PC(18:1(9Z)/20:2(11Z,14Z))",HMDB0008111,,Chemical
"PC(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008116,,Chemical
"PC(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008121,,Chemical
"PC(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008122,,Chemical
PC(18:1(9Z)/24:0),HMDB0008124,,Chemical
PC(18:1(9Z)/P-16:0),HMDB0008126,,Chemical
PC(18:1(9Z)/P-18:0),HMDB0008127,,Chemical
"PC(18:2(9Z,12Z)/14:0)",HMDB0008130,,Chemical
"PC(18:2(9Z,12Z)/14:1(9Z))",HMDB0008131,,Chemical
"PC(18:2(9Z,12Z)/16:0)",HMDB0008133,,Chemical
"PC(18:2(9Z,12Z)/16:1(9Z))",HMDB0008134,,Chemical
"PC(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))",HMDB0008140,,Chemical
"PC(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))",HMDB0008141,,Chemical
"PC(18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0008142,,Chemical
"PC(18:2(9Z,12Z)/20:1(11Z))",HMDB0008144,,Chemical
"PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008147,"1-Linoleoyl-2-arachidonoyl-sn-glycero-3-phosphocholine, LAPC",Chemical
"PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008148,,Chemical
"PC(18:2(9Z,12Z)/22:2(13Z,16Z))",HMDB0008152,,Chemical
"PC(18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008153,,Chemical
"PC(18:2(9Z,12Z)/P-16:0)",HMDB0008159,,Chemical
"PC(18:3(6Z,9Z,12Z)/14:0)",HMDB0008163,,Chemical
"PC(18:3(6Z,9Z,12Z)/16:0)",HMDB0008166,,Chemical
"PC(18:3(6Z,9Z,12Z)/16:1(9Z))",HMDB0008167,,Chemical
"PC(18:3(6Z,9Z,12Z)/18:2(9Z,12Z))",HMDB0008171,,Chemical
"PC(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z))",HMDB0008172,,Chemical
"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))",HMDB0008173,,Chemical
"PC(18:3(6Z,9Z,12Z)/20:0)",HMDB0008175,,Chemical
"PC(18:3(6Z,9Z,12Z)/20:3(5Z,8Z,11Z))",HMDB0008178,,Chemical
"PC(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))",HMDB0008179,,Chemical
"PC(18:3(6Z,9Z,12Z)/22:1(13Z))",HMDB0008184,,Chemical
"PC(18:3(6Z,9Z,12Z)/24:1(15Z))",HMDB0008191,,Chemical
"PC(18:3(6Z,9Z,12Z)/P-16:0)",HMDB0008192,,Chemical
"PC(18:3(9Z,12Z,15Z)/14:0)",HMDB0008196,,Chemical
"PC(18:3(9Z,12Z,15Z)/16:0)",HMDB0008199,,Chemical
"PC(18:3(9Z,12Z,15Z)/16:1(9Z))",HMDB0008200,,Chemical
"PC(18:3(9Z,12Z,15Z)/18:2(9Z,12Z))",HMDB0008204,,Chemical
"PC(18:3(9Z,12Z,15Z)/18:3(6Z,9Z,12Z))",HMDB0008205,,Chemical
"PC(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z))",HMDB0008206,,Chemical
"PC(18:3(9Z,12Z,15Z)/20:0)",HMDB0008208,,Chemical
"PC(18:3(9Z,12Z,15Z)/20:3(5Z,8Z,11Z))",HMDB0008211,,Chemical
"PC(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))",HMDB0008212,,Chemical
"PC(18:3(9Z,12Z,15Z)/22:1(13Z))",HMDB0008217,,Chemical
"PC(18:3(9Z,12Z,15Z)/24:1(15Z))",HMDB0008224,,Chemical
"PC(18:3(9Z,12Z,15Z)/P-16:0)",HMDB0008225,,Chemical
"PC(18:4(6Z,9Z,12Z,15Z)/16:0)",HMDB0008232,,Chemical
"PC(18:4(6Z,9Z,12Z,15Z)/18:1(11Z))",HMDB0008235,,Chemical
"PC(18:4(6Z,9Z,12Z,15Z)/18:1(9Z))",HMDB0008236,,Chemical
"PC(18:4(6Z,9Z,12Z,15Z)/18:2(9Z,12Z))",HMDB0008237,,Chemical
"PC(18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))",HMDB0008243,,Chemical
"PC(18:4(6Z,9Z,12Z,15Z)/22:0)",HMDB0008249,,Chemical
"PC(18:4(6Z,9Z,12Z,15Z)/22:2(13Z,16Z))",HMDB0008251,,Chemical
"PC(18:4(6Z,9Z,12Z,15Z)/24:0)",HMDB0008256,,Chemical
"PC(18:4(6Z,9Z,12Z,15Z)/24:1(15Z))",HMDB0008257,,Chemical
"PC(18:4(6Z,9Z,12Z,15Z)/P-16:0)",HMDB0008258,,Chemical
"PC(18:4(6Z,9Z,12Z,15Z)/P-18:1(11Z))",HMDB0008260,,Chemical
"PC(18:4(6Z,9Z,12Z,15Z)/P-18:1(9Z))",HMDB0008261,,Chemical
PC(20:0/14:1(9Z)),HMDB0008263,,Chemical
PC(20:0/16:0),HMDB0008265,,Chemical
PC(20:0/16:1(9Z)),HMDB0008266,,Chemical
"PC(20:0/18:3(6Z,9Z,12Z))",HMDB0008271,,Chemical
"PC(20:0/18:3(9Z,12Z,15Z))",HMDB0008272,,Chemical
"PC(20:0/20:4(5Z,8Z,11Z,14Z))",HMDB0008279,,Chemical
"PC(20:0/20:4(8Z,11Z,14Z,17Z))",HMDB0008280,,Chemical
PC(20:0/22:0),HMDB0008282,1-Arachidoyl-2-behenoyl-sn-glycero-3-phosphocholine,Chemical
PC(20:0/22:1(13Z)),HMDB0008283,1-Arachidoyl-2-erucoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:0/22:4(7Z,10Z,13Z,16Z))",HMDB0008285,1-Arachidoyl-2-adrenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008286,1-Arachidoyl-2-docosapentaenoyl-sn-glycero-3-phosphocholine (n-6),Chemical
"PC(20:0/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008287,1-Arachidoyl-2-docosapentaenoyl-sn-glycero-3-phosphocholine (n-3),Chemical
"PC(20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0008288,1-Arachidoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,Chemical
PC(20:0/P-16:0),HMDB0008291,1-Arachidoyl-2-(palmitoyl-plasmenyl)-sn-glycero-3-phosphocholine,Chemical
PC(20:1(11Z)/14:0),HMDB0008295,1-(11Z-Eicosenoyl)-2-myristoyl-sn-glycero-3-phosphocholine,Chemical
PC(20:1(11Z)/14:1(9Z)),HMDB0008296,1-(11Z-Eicosenoyl)-2-myristoleoyl-sn-glycero-3-phosphocholine,Chemical
PC(20:1(11Z)/16:0),HMDB0008298,1-(11Z-Eicosenoyl)-2-palmitoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:1(11Z)/18:2(9Z,12Z))",HMDB0008303,1-(11Z-Eicosenoyl)-2-linoleoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:1(11Z)/20:3(5Z,8Z,11Z))",HMDB0008310,"1-(11Z-Eicosenoyl)-2-(5Z,8Z,11Z-eicosatrienoyl)-sn-glycero-3-phosphocholine",Chemical
"PC(20:1(11Z)/20:3(8Z,11Z,14Z))",HMDB0008311,1-(11Z-Eicosenoyl)-2-dihomo-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008314,1-(11Z-Eicosenoyl)-2-eicosapentaenoyl-sn-glycero-3-phosphocholine,Chemical
PC(20:1(11Z)/22:0),HMDB0008315,1-(11Z-Eicosenoyl)-2-behenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:1(11Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008318,1-(11Z-Eicosenoyl)-2-adrenoyl-sn-glycero-3-phosphocholine,Chemical
PC(20:1(11Z)/P-16:0),HMDB0008324,1-(11Z-Eicosenoyl)-2-(palmitoyl-plasmenyl)-sn-glycero-3-phosphocholine,Chemical
"PC(20:2(11Z,14Z)/14:0)",HMDB0008328,"1-(11Z,14Z-Eicosadienoyl)-2-myristoyl-sn-glycero-3-phosphocholine",Chemical
"PC(20:2(11Z,14Z)/14:1(9Z))",HMDB0008329,"1-(11Z,14Z-Eicosadienoyl)-2-myristoleoyl-sn-glycero-3-phosphocholine",Chemical
"PC(20:2(11Z,14Z)/18:1(11Z))",HMDB0008334,"1-(11Z,14Z-Eicosadienoyl)-2-cis-vaccenoyl-sn-glycero-3-phosphocholine",Chemical
"PC(20:2(11Z,14Z)/18:1(9Z))",HMDB0008335,"1-(11Z,14Z-Eicosadienoyl)-2-oleoyl-sn-glycero-3-phosphocholine",Chemical
"PC(20:2(11Z,14Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0008339,"1-(11Z,14Z-Eicosadienoyl)-2-stearidonoyl-sn-glycero-3-phosphocholine",Chemical
"PC(20:2(11Z,14Z)/20:2(11Z,14Z))",HMDB0008342,"1,2-di-(11Z,14Z-Eicosadienoyl)-sn-glycero-3-phosphocholine",Chemical
"PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008345,"1-(11Z,14Z-Eicosadienoyl)-2-arachidonoyl-sn-glycero-3-phosphocholine",Chemical
"PC(20:2(11Z,14Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008346,,Chemical
"PC(20:2(11Z,14Z)/22:2(13Z,16Z))",HMDB0008350,"1-(11Z,14Z-Eicosadienoyl)-2-(13Z,16Z-docosadienoyl)-sn-glycero-3-phosphocholine",Chemical
"PC(20:2(11Z,14Z)/P-18:1(11Z))",HMDB0008359,,Chemical
"PC(20:2(11Z,14Z)/P-18:1(9Z))",HMDB0008360,,Chemical
"PC(20:3(5Z,8Z,11Z)/14:0)",HMDB0008361,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-myristoyl-sn-glycero-3-phosphocholine",Chemical
"PC(20:3(5Z,8Z,11Z)/14:1(9Z))",HMDB0008362,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-myristoleoyl-sn-glycero-3-phosphocholine",Chemical
"PC(20:3(5Z,8Z,11Z)/18:0)",HMDB0008366,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-stearoyl-sn-glycero-3-phosphocholine",Chemical
"PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))",HMDB0008370,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-gamma-linolenoyl-sn-glycero-3-phosphocholine",Chemical
"PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))",HMDB0008371,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-alpha-linolenoyl-sn-glycero-3-phosphocholine",Chemical
"PC(20:3(5Z,8Z,11Z)/20:1(11Z))",HMDB0008374,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine",Chemical
"PC(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))",HMDB0008376,"1,2-di-(5Z,8Z,11Z-Eicosatrienoyl)-sn-glycero-3-phosphocholine",Chemical
"PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z))",HMDB0008377,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-dihomo-gamma-linolenoyl-sn-glycero-3-phosphocholine",Chemical
"PC(20:3(5Z,8Z,11Z)/22:1(13Z))",HMDB0008382,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-erucoyl-sn-glycero-3-phosphocholine",Chemical
"PC(20:3(5Z,8Z,11Z)/22:2(13Z,16Z))",HMDB0008383,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-(13Z,16Z-docosadienoyl)-sn-glycero-3-phosphocholine",Chemical
"PC(20:3(5Z,8Z,11Z)/P-18:0)",HMDB0008391,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-(stearoyl-plasmenyl)-sn-glycero-3-phosphocholine",Chemical
"PC(20:3(8Z,11Z,14Z)/14:0)",HMDB0008394,1-Dihomo-gamma-linolenoyl-2-myristoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:3(8Z,11Z,14Z)/14:1(9Z))",HMDB0008395,1-Dihomo-gamma-linolenoyl-2-myristoleoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:3(8Z,11Z,14Z)/18:0)",HMDB0008399,1-Dihomo-gamma-linolenoyl-2-stearoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:3(8Z,11Z,14Z)/18:3(6Z,9Z,12Z))",HMDB0008403,1-Dihomo-gamma-linolenoyl-2-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:3(8Z,11Z,14Z)/18:3(9Z,12Z,15Z))",HMDB0008404,1-Dihomo-gamma-linolenoyl-2-alpha-linolenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:3(8Z,11Z,14Z)/20:3(5Z,8Z,11Z))",HMDB0008408,"1-Dihomo-gamma-linolenoyl-2-(5Z,8Z,11Z-eicosatrienoyl)-sn-glycero-3-phosphocholine",Chemical
"PC(20:3(8Z,11Z,14Z)/20:3(8Z,11Z,14Z))",HMDB0008409,"1,2-bis(Dihomo-gamma-linolenoyl)-sn-glycero-3-phosphocholine",Chemical
"PC(20:3(8Z,11Z,14Z)/22:1(13Z))",HMDB0008414,1-Dihomo-gamma-linolenoyl-2-erucoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:3(8Z,11Z,14Z)/22:2(13Z,16Z))",HMDB0008415,"1-Dihomo-gamma-linolenoyl-2-(13Z,16Z-docosadienoyl)-sn-glycero-3-phosphocholine",Chemical
"PC(20:3(8Z,11Z,14Z)/P-18:0)",HMDB0008423,1-Dihomo-gamma-linolenoyl-2-(stearoyl-plasmenyl)-sn-glycero-3-phosphocholine,Chemical
"PC(20:4(5Z,8Z,11Z,14Z)/14:0)",HMDB0008426,1-Arachidonoyl-2-myristoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:4(5Z,8Z,11Z,14Z)/16:1(9Z))",HMDB0008430,1-Arachidonoyl-2-palmitoleoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))",HMDB0008434,1-Arachidonoyl-2-linoleoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:4(5Z,8Z,11Z,14Z)/20:0)",HMDB0008438,1-Arachidonoyl-2-arachidoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:4(5Z,8Z,11Z,14Z)/20:2(11Z,14Z))",HMDB0008440,"1-Arachidonoyl-2-(11Z,14Z-eicosadienoyl)-sn-glycero-3-phosphocholine",Chemical
